offeringService,shopCode,address_si,address_gu,address,shopName,latitude,longitude,count_address_gu
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",VDK77,수원시,권선구,"경기 수원시 권선구 서수원로577번길341, 제상가동 제비 102호,103호 (금곡동 1078, 수원모아미래도센트럴타운1단지)",GS25권선빌리지점,126.93814244,37.27560777,100
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V3F43,수원시,권선구,경기 수원시 권선구 당수로203 (당수동 216),GS25권선삼정점,126.944246,37.28989945,100
"['instant', 'drug', 'post', 'withdrawal']",V4H42,수원시,권선구,"경기 수원시 권선구 권광로27번길62, 상가동 106호 ,108호 (권선동 1186, 권선삼천리아파트)",GS25권선삼천리점,127.02441557,37.25189464,100
"['cafe25', 'instant', 'drug', 'atm', 'withdrawal', 'smart_atm']",V4K83,수원시,권선구,경기 수원시 권선구 권광로91(권선동 1042-15),GS25권선세곡점,127.02936739,37.2560353,100
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",VN499,수원시,권선구,"경기 수원시 권선구 세권로42, 1층 (세류2동 443-1)",GS25권선세권로점,127.00896633,37.25924539,100
"['cafe25', 'drug', 'post', 'withdrawal']",VDV92,수원시,권선구,"경기 수원시 권선구 세류로39 (세류동 1270, LH수원센트럴타운2단지)",GS25권선세류로점,127.00664189,37.26283927,100
"['cafe25', 'post']",V3Q96,수원시,권선구,경기 수원시 권선구 세지로126번길44 (권선동 956-17),GS25권선세지로점,127.0222546,37.2621042,100
"['cafe25', 'drug', 'post', 'withdrawal']",VEB33,수원시,권선구,"경기 수원시 권선구 경수대로347번길14-19, 1층 (권선동 987-9)",GS25권선센트럴점,127.02194767,37.25881268,100
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V7F24,수원시,권선구,경기 수원시 권선구 금호로15번길6 (금곡동 245-66),GS25권선신미주점,126.9536371,37.2689696,100
"['cafe25', 'drug', 'post', 'withdrawal']",V5Y56,수원시,권선구,"경기 수원시 권선구 덕영대로1190번길100, 707동 상가동 109호 110호 (권선동)",GS25권선아이파크점,127.02030959,37.24776077,100
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VEH52,수원시,권선구,"경기 수원시 권선구 권선로682번길38, 1층 (권선동 1034-7)",GS25권선오길점,127.02490458,37.25768367,100
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VDU57,수원시,권선구,경기 수원시 권선구 삼천병마로1592-3(오목천동 498-5),GS25권선오목천점,126.96384878,37.24452284,100
"['drug', 'post', 'withdrawal']",V7G94,수원시,권선구,"경기 수원시 권선구 장다리로1, 101호 (세류동 1124-3)",GS25권선장다리점,127.01713414,37.2509874,100
"['cafe25', 'drug', 'post', 'withdrawal']",VO333,수원시,권선구,"경기 수원시 권선구 덕영대로1323번길25-33, 상가동 101호 (권선동 1315, 우남아파트)",GS25권선최강점,127.03360439,37.24733838,100
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V5T96,수원시,권선구,"경기 수원시 권선구 금곡로196번길68, 104호 (금곡동 1124-2)",GS25금곡CM점,126.95504214,37.27336128,100
"['cafe25', 'drug', 'withdrawal']",VE911,수원시,권선구,"경기 수원시 권선구 금호로45, 상가동 103,104호 (금곡동 241, 삼익아파트)",GS25금곡삼익점,126.95668189,37.26974437,100
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V7X89,수원시,권선구,"경기 수원시 권선구 금곡로137 (금곡동 1072, 수원호매실휴먼시아4단지아파트)",GS25금곡센트럴점,126.94714284,37.2746339,100
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VDP42,수원시,권선구,"경기 수원시 권선구 금곡로106, 112호 (금곡동 1085-2, 우성메디피아)",GS25금곡우성점,126.94198792,37.27396619,100
"['cafe25', 'drug', 'post']",VDS66,수원시,권선구,"경기 수원시 권선구 금곡로31번길7, 상가 1층 (금곡동 648)",GS25금곡자이점,126.93722641,37.26938209,100
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V4P63,수원시,권선구,"경기 수원시 권선구 금호로83-8, 111호 (금곡동 1141)",GS25금곡파크점,126.95919835,37.27204627,100
"['cafe25', 'post']",VEQ77,수원시,장안구,경기 수원시 장안구 덕영대로639번길63 (정자동 881-4),GS25꽃뫼노을점,126.98912527,37.29127343,74
"['cafe25', 'drug', 'post', 'withdrawal']",VE555,수원시,팔달구,경기 수원시 팔달구 인계동762-81번지,GS25남문아울렛점,127.02028784,37.2738111,77
"['cafe25', 'post', 'withdrawal']",V6H96,수원시,권선구,"경기 수원시 권선구 권중로158 (권선동 1270, 벽산아파트)",GS25남수원점,127.03303196,37.25067676,100
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",VDR88,수원시,팔달구,"경기 수원시 팔달구 경수대로480번길11-27, 1층 (인계동 950)",GS25뉴인계경수점,127.02861329,37.26998701,77
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V7H48,수원시,팔달구,"경기 수원시 팔달구 장다리로283번길9, 1층 (인계동 956, 다온 NOBLE)",GS25뉴인계원룸점,127.02812234,37.27484886,77
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",VDD62,수원시,장안구,"경기 수원시 장안구 송정로190, 2동 2호 (조원동 431-2)",GS25더샵광교점,127.01777309,37.29899364,74
"['cafe25', 'drug', 'post', 'withdrawal']",V7Q64,수원시,장안구,경기 수원시 장안구 만석로177 (송죽동 272-37),GS25만석공원점,126.99893226,37.30271944,74
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V8D75,수원시,영통구,"경기 수원시 영통구 영통로90번길24, 1층 102호 (망포동 485-4)",GS25망포늘푸른점,127.0596311,37.23823962,101
"['cafe25', 'instant', 'drug', 'post', 'withdrawal', 'delivery_service']",VE543,수원시,영통구,경기 수원시 영통구 덕영대로1483번길16-4 (망포동 32-7),GS25망포원룸점,127.05276594,37.24646596,101
"['cafe25', 'drug', 'post', 'withdrawal']",VDN22,수원시,팔달구,"경기 수원시 팔달구 인계로20, 매교SK뷰푸르지오 상가1동 B101호,  (매교동 209-14)",GS25매교SK뷰점,127.01662955,37.26639185,77
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V8C26,수원시,팔달구,"경기 수원시 팔달구 정조로623번길23, 1층 전체 (매교동 269-5)",GS25매교유천점,127.01384329,37.26477374,77
"['cafe25', 'drug', 'post']",VDM35,수원시,팔달구,"경기 수원시 팔달구 인계로20, 상가3동 102호,103호 (아파트 122동 뒷편) (매교동 209-14)",GS25매교푸르지오점,127.01839468,37.26938009,77
"['drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VJ288,수원시,팔달구,경기 수원시 팔달구 고화로13번길2(고등동 74-33),GS25매산로2가점,127.00754147,37.27074936,77
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",VDQ98,수원시,팔달구,경기 수원시 팔달구 효원로23-5 (매산로3가 20-16),GS25매산로3가점,127.00943696,37.27151314,77
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm', 'delivery_service']",VE165,수원시,팔달구,경기 수원시 팔달구 효원로60번길30(매산로3가 94-1),GS25매산중앙점,127.00762629,37.26772242,77
"['cafe25', 'drug', 'post', 'withdrawal']",V4K22,수원시,팔달구,"경기 수원시 팔달구 갓매산로71번길21-6, 101호 (매산로2가 27-6)",GS25매산팰리스점,127.00314775,37.2687661,77
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VN134,수원시,영통구,경기 수원시 영통구 신원로198번길72(매탄3동 514-13),GS25매탄공단점,127.06212069,37.25561445,101
"['cafe25', 'drug', 'post']",V8U54,수원시,영통구,"경기 수원시 영통구 매탄로180, 1층 (매탄동 208-18)",GS25매탄공원점,127.04605726,37.26629922,101
"['cafe25', 'instant', 'drug', 'post', 'withdrawal', 'delivery_service']",V3890,수원시,영통구,경기 수원시 영통구 인계로270번길2(매탄3동 872-1),GS25매탄드림점,127.04675612,37.26362861,101
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm', 'self_cook', 'delivery_service']",VP910,수원시,영통구,경기 수원시 영통구 동수원로286번길13-2 (매탄동 1178-7),GS25매탄삼천리점,127.03711419,37.25497219,101
"['cafe25', 'drug', 'post', 'atm', 'withdrawal']",VQ255,수원시,영통구,"경기 수원시 영통구 인계로292, 26  (매탄동 867-1)",GS25매탄원룸점,127.04918797,37.26299938,101
"['cafe25', 'drug', 'post']",VDV24,수원시,영통구,"경기 수원시 영통구 효원로363 (매탄동 1352, 매탄위브하늘채)",GS25매탄위브점,127.04124084,37.26202519,101
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VO005,수원시,영통구,경기 수원시 영통구 중부대로256번길35 (매탄동 141-11),GS25매탄중부로점,127.04319884,37.2730073,101
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal']",VX363,수원시,영통구,경기 수원시 영통구 권광로260번길36 (매탄동 176),GS25매탄힐스점,127.0399992,37.27102603,101
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V4K68,수원시,권선구,"경기 수원시 권선구 호매실로218번길22, 1상가 101호102호 (호매실동 1380, 호매실마을14단지벨섬시티)",GS25벨섬시티점,126.96045432,37.26270405,100
"['cafe25', 'post', 'withdrawal']",V6Z29,수원시,장안구,경기 수원시 장안구 천천로100 (천천동 516),GS25북수원시네마점,126.98405949,37.30063736,74
"['cafe25', 'drug', 'post', 'withdrawal']",VI396,수원시,영통구,경기 수원시 영통구 삼성로168번길15 (매탄3동 436-47),GS25삼성SDS점,127.05750206,37.25806479,101
"['cafe25', 'instant', 'drug', 'post']",VH780,수원시,영통구,경기 수원시 영통구 신원로173-1(신동 384-33),GS25삼성애니콜점,127.05877606,37.25171321,101
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",VT688,수원시,영통구,"경기 수원시 영통구 삼성로245, 1층 101호 (매탄동 361-8)",GS25삼성티아라점,127.06107675,37.26433777,101
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V6Y29,수원시,권선구,경기 수원시 권선구 세화로141번길31-1 (서둔동 33-4),GS25서둔세화로점,126.99250901,37.26417961,100
"['cafe25', 'instant', 'post', 'withdrawal']",V7B73,수원시,권선구,"경기 수원시 권선구 권선로381번길13, 106호,107호  (서둔동 17-745, JS타워)",GS25서둔센트럴점,126.99270463,37.26218987,100
"['cafe25', 'instant', 'drug', 'post']",VDM96,수원시,권선구,"경기 수원시 권선구 서호서로33번길6-14, 1층 (서둔동 118-1)",GS25서둔아크빌점,126.98465244,37.26910451,100
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V6A32,수원시,권선구,경기 수원시 권선구 세화로190번길13 (서둔동 17-160),GS25서둔햇살점,126.99455368,37.26896375,100
"['cafe25', 'instant', 'drug', 'post', 'self_cook']",V5F33,수원시,권선구,"경기 수원시 권선구 입북로50,  301동 101호 (입북동 810, 서수원자이아파트)",GS25서수원자이점,126.9593881,37.2967556,100
['post'],VEP33,수원시,권선구,"경기 수원시 권선구 수인로161번길24, 1층 (서둔동 238-6)",GS25서수원참누리점,126.98019942,37.27491428,100
['self_cook'],V3A39,수원시,장안구,"경기 수원시 장안구 서부로2066, 기숙사신관 (천천동 300)",GS25성대기숙사신점,126.97565626,37.29397802,74
"['drug', 'post', 'withdrawal']",V3A42,수원시,장안구,경기 수원시 장안구 서부로2066 (천천동 300),GS25성대기숙사의점,126.97565626,37.29397802,74
['post'],V3A43,수원시,장안구,"경기 수원시 장안구 서부로2066, 기숙사지관 (천천동 300)",GS25성대기숙사지점,126.97565626,37.29397802,74
"['cafe25', 'instant', 'post']",V3A38,수원시,장안구,"경기 수원시 장안구 서부로2066 (천천동 300, 복지회관)",GS25성대복지회관점,126.97565626,37.29397802,74
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",V8C39,수원시,장안구,경기 수원시 장안구 서부로2126번길33 (율전동 290-19),GS25성대학사점,126.9734933,37.29794206,74
"['cafe25', 'drug', 'post', 'atm', 'withdrawal']",VL173,수원시,권선구,경기 수원시 권선구 정조로578(세류3동 162-14),GS25세류3동점,127.01331363,37.26043509,100
"['cafe25', 'drug', 'post', 'withdrawal']",V3T66,수원시,권선구,"경기 수원시 권선구 세권로1, 상가동 101호 (세류동 1280, LH수원센트럴타운3단지)",GS25세류덕영점,127.00656765,37.26076615,100
"['cafe25', 'drug', 'post', 'withdrawal']",V6A33,수원시,권선구,경기 수원시 권선구 정조로526번길19 (세류동 535-9),GS25세류빌리지점,127.01250188,37.25612111,100
"['drug', 'post', 'atm', 'withdrawal']",V6Q95,수원시,권선구,"경기 수원시 권선구 경수대로277번길14-1, 1층(세류2동 1103-29)",GS25세류센타점,127.01854931,37.25225165,100
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VY079,수원시,권선구,"경기 수원시 권선구 장다리로64, 1층 (세류동 1081, 청솔오피스텔)",GS25세류시티점,127.02029348,37.25596958,100
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm', 'self_cook']",VT384,수원시,권선구,경기 수원시 권선구 정조로565번길3 (세류동 476-9),GS25세류유천점,127.01231147,37.25948059,100
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VG766,수원시,권선구,경기 수원시 권선구 정조로384번길23(세류2동 1159-7),GS25세류파크점,127.01584755,37.24417347,100
"['drug', 'post', 'atm', 'withdrawal']",V5B97,수원시,권선구,경기 수원시 권선구 경수대로225번길16 (세류동 1149-6),GS25세류하이퍼점,127.01652656,37.24743205,100
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V3U26,수원시,권선구,"경기 수원시 권선구 세류로28, LH할인마트 (세류동 1277)",GS25센트럴타운점,127.00676704,37.26189418,100
"['drug', 'post']",V8A62,수원시,장안구,경기 수원시 장안구 정조로1088번길18-25 (송죽동 459-32),GS25송죽골든점,127.00474767,37.30224586,74
"['cafe25', 'drug', 'post', 'withdrawal']",VEB62,수원시,장안구,경기 수원시 장안구 정조로1102번길24 (송죽동 454),GS25송죽만석점,127.00285436,37.30382484,74
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm', 'delivery_service']",V5C78,수원시,장안구,경기 수원시 장안구 정조로1039 (송죽동 379-1),GS25송죽중앙점,127.00629479,37.29868156,74
"['cafe25', 'instant', 'drug', 'post', 'withdrawal']",V8D48,수원시,장안구,"경기 수원시 장안구 이목로24, 602동 107호, 108호  (정자동)",GS25수원SK뷰점,126.98502131,37.30712438,74
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VJ663,수원시,장안구,"경기 수원시 장안구 경수대로776번길28, 1층(영화동 43-1)",GS25수원감천점,127.0206023,37.29305191,74
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal']",V2B73,수원시,장안구,"경기 수원시 장안구 경수대로853번길4, 1층 102호 (조원동 779-1, 유래빌딩)",GS25수원경수로점,127.01398648,37.29701581,74
"['toto', 'cafe25', 'drug', 'post', 'withdrawal']",VL578,수원시,권선구,경기 수원시 권선구 경수대로54번길58(곡반정동 604-1),GS25수원곡반정점,127.0244077,37.23414304,100
"['cafe25', 'post', 'withdrawal']",V7H57,수원시,장안구,경기 수원시 장안구 경수대로940 (조원동 894),GS25수원골든타워점,127.0080749,37.30312983,74
"['cafe25', 'instant', 'post']",V7Q72,수원시,권선구,경기 수원시 권선구 세류동1039번지,GS25수원공군점,127.004121,37.24879714,100
"['cafe25', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm']",VK796,수원시,팔달구,"경기 수원시 팔달구 행궁로94-4, 1층(교동 3-9)",GS25수원교동점,127.01547884,37.27423977,77
"['cafe25', 'instant', 'drug', 'post', 'atm', 'withdrawal', 'smart_atm', 'delivery_service']",VK634,수원시,권선구,경기 수원시 권선구 권중로76번길4(권선동 1258-11),GS25수원권선점,127.02991083,37.25233627,100
